ID,車名,支払総額,車両価格,諸費用,色,年式,走行距離,地域,車検,ミッション,駆動方式,整備ノート,排気量,法定整備,動力,修復歴,ワンオーナー,未使用車,禁煙車,外装,内装,機関,修理歴,カーナビ,ETC,スマートキー,盗難防止システム,アイドリングストップ,100V電源,USB入力端子,Bluetooth接続,音楽プレイヤー接続可,CDデッキ,DVDデッキ,テレビ,パワーステアリング,パワーウィンドウ,寒冷地仕様,本革シート,ハーフレザーシート,パワーシート,ベンチシート,フルフラット,シートエアコン,シートヒーター,ローダウン,電動リアゲート,サンルーフ,ディスチャージドランプ,LEDヘッドランプ,アルミホイール,エアロパーツ,エアバッグ,ドライブレコーダー,バックモニターカメラ,全周囲カメラ,フロントカメラ,サイドカメラ,横滑り防止装置,衝突安全ボディ,衝突被害軽減システム,ABS,クルーズコントロール,アダプティブクルーズコントロール,クリアランスソナー,オートライト,レーンアシスト,パークアシスト,自動駐車システム
1,プリウス ＳセーフティプラスＩＩ,249,238,11,パールホワイト,2022,0.4,大阪府,2025/05,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,0,1,5,5,正常,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0
2,プリウス 1.8,249,238,11,パールホワイト,2022,0.4,大阪府,2025/05,AT,2WD,1,1790cc,1,ガソリン,0,1,0,1,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,プリウス ＳセーフティプラスＩＩ,219.9,207.1,12.8,アティチュードブラックマイカ,2021,2.7,和歌山県,2026/02,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
4,プリウス Ｇ,345.8,329.8,16,パール,2023,0.2,滋賀県,2026/07,CVT,2WD,1,2000cc,1,ハイブリッド,0,0,0,1,4,5,正常,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
5,プリウス Ｘ,334.8,319.8,15,ホワイト,2023,0.8,滋賀県,2025/07,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,0,1,5,5,正常,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0
6,プリウス Ｓツーリングセレクション,289,279,10,パール,2022,0.3,滋賀県,2025/11,CVT,4WD,1,1800cc,1,ハイブリッド,0,1,0,1,NA,NA,NA,NA,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0
7,プリウス Ｚ,323,310,13,プラチナホワイトパールマイカ,2024,0.0014,兵庫県,2027/04,CVT,2WD,1,2000cc,1,ハイブリッド,0,0,1,1,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,プリウス Ｇ,365.8,349.8,16,パールホワイト,2023,0.2,大阪府,2026/11,CVT,2WD,1,2000cc,1,ハイブリッド,0,0,0,1,5,5,正常,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0
9,プリウス Ｇ,355.8,339.8,16,パールホワイト,2023,0.5,大阪府,2026/05,CVT,2WD,1,2000cc,1,ハイブリッド,0,0,0,1,4,5,正常,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
10,プリウス Ｚ,349.9,336.5,13.4,プラチナホワイトパールマイカ,2023,0.3,兵庫県,2026/09,CVT,2WD,1,2000cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
11,プリウス Ｕ,360.8,346.3,14.5,ダークブルー,2024,8e-4,兵庫県,2027/03,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
12,プリウス Ｘ,371.1,350.9,20.2,ホワイト,2023,0.001,兵庫県,2026/11,CVT,2WD,1,1800cc,1,ハイブリッド,0,1,1,1,5,5,正常,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0
13,プリウス Ｘ,321,298.1,22.9,ホワイト,2023,5e-4,大阪府,2026/12,CVT,2WD,1,1800cc,1,ハイブリッド,0,0,1,1,NA,NA,NA,NA,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0
14,プリウス Ｘ,330,305,25,ホワイト,2023,3e-4,兵庫県,2026/09,AT,2WD,1,1800cc,1,ハイブリッド,0,0,1,1,NA,NA,NA,NA,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0
15,プリウス Ｇ,349.8,342.1,7.7,プラチナホワイトパールマイカ：０８９,2023,1.5,大阪府,2026/03,CVT,2WD,1,2000cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0
16,プリウス Ｓツーリングセレクション,262.1,249.9,12.2,アティチュードブラックマイカ,2021,3.6,奈良県,2026/03,AT,2WD,1,1800cc,0,ガソリン,0,1,0,1,4,4,正常,0,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0
17,プリウス Ｓツーリングセレクション,330.9,315.9,15,パール,2022,1.5,兵庫県,2025/04,CVT,2WD,1,1800cc,1,ガソリン,0,0,0,1,NA,NA,NA,NA,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0
18,プリウス 1.8,298,293,5,パールホワイト,2022,2.1,大阪府,2025/05,AT,2WD,1,1790cc,1,ガソリン,0,1,0,1,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,プリウス Ｚ,394.7,379.7,15,アッシュ,2023,0.6,和歌山県,2026/05,CVT,2WD,1,2000cc,1,ハイブリッド,0,1,0,1,NA,NA,NA,NA,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0
20,プリウス 2.0,419.9,406.8,13.1,プラチナホワイトパールマイカ,2023,0.9,滋賀県,2026/03,CVT,2WD,1,2000cc,1,ハイブリッド,0,1,0,1,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,プリウス Ｚ,425,415,10,グレー,2023,0.9,滋賀県,2026/08,CVT,2WD,1,2000cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
22,プリウス Ｚ,397.9,384.8,13.1,プラチナホワイトパールマイカ,2023,0.9,滋賀県,2026/03,CVT,2WD,1,2000cc,1,ハイブリッド,0,1,0,1,NA,NA,NA,NA,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0
23,プリウス Ｚ,419.9,398,21.9,パールホワイト,2024,0.1,大阪府,2027/02,CVT,2WD,1,2000cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1
24,プリウス Ｚ,435.9,422.2,13.7,アティチュードブラックマイカ,2024,0.013,滋賀県,2027/02,CVT,2WD,1,2000cc,1,ハイブリッド,0,1,0,1,NA,NA,NA,NA,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
25,プリウス Ｚ,430,420,10,グレー,2024,6e-4,兵庫県,2027/04,CVT,2WD,1,2000cc,0,ハイブリッド,0,0,1,1,NA,NA,NA,NA,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0
26,プリウス Ｚ,439.8,433.6,6.2,プラチナホワイトパールマイカ,2024,0.6,大阪府,2027/01,AT,2WD,1,2000cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
27,プリウス Ｚ,439.8,424.8,15,パールホワイト,2024,0.02,大阪府,2027/05,CVT,2WD,1,2000cc,1,ハイブリッド,0,1,0,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1
28,プリウス Ｚ,455.9,442.2,13.7,プラチナホワイトパールマイカ,2024,0.0101,大阪府,2027/02,CVT,2WD,1,2000cc,1,ハイブリッド,0,1,0,1,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0
29,プリウス Ｚ,449.4,435.1,14.3,アティチュードブラックマイカ,2023,0.3,大阪府,2026/05,CVT,2WD,1,2000cc,1,ハイブリッド,0,1,0,1,5,5,正常,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
30,プリウス Ｚ,409.8,402.1,7.7,アティチュードブラックマイカ,2023,1.2,兵庫県,2026/03,AT,2WD,1,2000cc,1,ハイブリッド,0,1,0,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
31,プリウス Ｚ,414.9,407,7.9,アティチュードブラックマイカ,2023,0.5,兵庫県,2026/06,AT,2WD,1,2000cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
32,プリウス Ｚ,417.9,404.3,13.6,アティチュードブラックマイカ,2023,0.4,和歌山県,2026/12,CVT,2WD,1,2000cc,1,ハイブリッド,0,0,0,1,NA,NA,NA,NA,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
33,プリウス Ｚ,451.8,439.8,12,アティチュードブラックマイカ,2023,0.8,兵庫県,2026/08,CVT,2WD,1,2000cc,1,ハイブリッド,0,1,0,1,5,5,正常,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
34,プリウス Ｚ,500,490,10,パール,2023,0.3,兵庫県,2026/07,CVT,2WD,1,2000cc,1,ハイブリッド,0,1,0,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
35,プリウス Ｚ,431.7,420,11.7,プラチナホワイトパールマイカ,2024,0.0013,大阪府,2027/04,CVT,2WD,1,2000cc,1,ハイブリッド,0,0,1,1,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0
